chrom	start	end
chr17	73980000	74200000
chr17	74210000	74870000
chr17	74880000	75250000
chr17	75260000	75410000
chr17	75420000	75770000
chr17	75780000	76290000
chr17	76300000	76510000
chr17	76520000	76720000
chr17	76730000	77080000
chr17	77090000	77250000
chr17	77260000	77510000
chr17	77520000	77880000
chr17	77890000	78020000
chr17	78030000	78240000
chr17	78250000	78440000
chr17	78450000	78840000
chr17	78850000	78980000
chr17	78990000	79400000
chr17	79410000	79710000
chr17	79720000	79990000
chr17	80000000	80400000
chr17	80410000	80980000
chr17	80990000	81250000
chr17	81260000	81550000
chr17	81560000	82230000
chr17	82240000	82450000
chr17	82460000	82640000
chr17	82650000	82780000
chr17	82790000	82920000
chr17	82930000	83257441
