chrom	start	end
chr17	72730000	72980000
chr17	72990000	73190000
chr17	73200000	73400000
chr17	73410000	73640000
chr17	73650000	74200000
chr17	74210000	74870000
chr17	74880000	75260000
chr17	75270000	75410000
chr17	75420000	75770000
chr17	75780000	76290000
chr17	76300000	76510000
chr17	76520000	76720000
chr17	76730000	77080000
chr17	77090000	77260000
chr17	77270000	77510000
chr17	77520000	77880000
chr17	77890000	78250000
chr17	78260000	78480000
chr17	78490000	78780000
chr17	78790000	78980000
chr17	78990000	79390000
chr17	79400000	79710000
chr17	79720000	79990000
chr17	80000000	80410000
chr17	80420000	80980000
chr17	80990000	81250000
chr17	81260000	81550000
chr17	81560000	82220000
chr17	82230000	82450000
chr17	82460000	82640000
chr17	82650000	82780000
chr17	82790000	83070000
chr17	83080000	83257441
